time,round,nbMessages
147,179,108837
161,179,98988
146,179,111203
139,179,95200
186,179,96389
145,179,93028
156,179,100304
139,179,93024
136,179,97103
145,179,98025
163,179,96567
135,179,95835
152,179,113691
137,179,97568
138,179,96108
180,179,116758
149,179,102622
125,179,96116
175,179,101028
176,179,96387
165,179,105756
160,179,101204
142,179,94846
142,179,106208
137,179,97174
174,179,101123
141,179,93663
190,189,128580
202,189,117354
203,189,139316
181,189,110122
150,189,111630
185,189,114684
168,189,103606
170,189,104468
160,189,111286
200,189,125246
181,189,106492
217,189,111180
226,189,120678
200,189,106106
157,189,105330
173,189,104952
197,189,109362
207,189,107444
235,189,113866
169,189,104090
209,189,110798
292,189,111566
212,189,115048
164,189,108016
168,189,106674
167,189,107828
186,189,108594
176,189,105724
175,189,106004
280,189,129350
196,189,119698
224,189,122500
208,189,114710
227,189,111572
185,189,101222
142,189,102454
345,189,112608
197,189,103232
305,189,111960
143,189,103126
146,189,103996
166,189,111282
156,189,111466
174,189,115688
172,189,105614
143,189,100260
186,189,104180
209,189,113108
208,189,115886
247,189,143572
162,189,104666
180,199,121008
164,199,120210
182,199,123739
169,199,117782
166,199,122430
178,199,114754
221,199,112946
147,199,116071
169,199,122018
228,199,122610
191,199,117992
222,199,139644
176,199,126776
208,199,126565
191,199,116667
195,199,124749
144,199,120618
165,199,121923
170,199,118390
208,199,121113
245,199,150971
165,199,135947
176,199,120004
173,199,118396
180,199,143238
198,199,135418
229,199,128280
192,199,116265
156,199,115566
223,199,139203
207,199,127683
186,199,115269
177,199,145494
176,199,121616
154,199,130553
183,199,125151
180,199,125658
193,199,126664
268,199,138222
158,199,122760
248,199,144841
185,199,135779
185,199,124244
198,199,120715
208,199,139215
193,199,119085
206,199,127775
213,199,125541
161,199,121222
225,199,127016
532,199,144274
409,209,136542
274,209,135272
258,209,136430
323,209,134928
226,209,130930
290,209,134632
172,209,133258
217,209,129660
243,209,141132
160,209,129340
208,209,141630
210,209,150188
221,209,148514
198,209,133358
250,209,140336
210,209,124998
227,209,130826
363,209,129546
178,209,129338
160,209,129132
302,209,152526
155,209,122890
191,209,139088
215,209,157860
191,209,131776
426,209,134528
390,209,133680
172,209,132306
192,209,130820
189,209,132520
224,209,137814
212,209,129448
193,209,142160
182,209,128502
166,209,131456
245,209,138448
593,209,137922
299,209,135806
198,209,125944
246,209,128176
345,209,135098
207,209,133890
269,209,124688
211,209,139186
197,209,130506
224,209,149018
247,209,158114
158,209,123838
429,209,134716
249,209,154930
179,209,131672
227,219,158337
253,219,146978
457,219,148530
719,219,163733
507,219,183112
348,219,141767
375,219,147317
197,219,133783
398,219,148310
184,219,149981
217,219,164111
180,219,137674
208,219,150863
213,219,146865
199,219,152302
241,219,169924
202,219,143765
188,219,149943
307,219,161380
216,219,138328
403,219,143767
392,219,149560
236,219,144760
325,219,149531
350,219,143430
488,219,146750
274,219,139658
428,219,149422
194,219,138663
196,219,152082
283,219,140104
307,219,175085
593,219,153192
223,219,151864
609,219,147313
239,219,150861
309,219,148419
417,219,144538
192,219,150867
253,219,147426
730,219,154744
202,219,151862
201,219,153081
189,219,143543
197,219,140879
287,219,201729
174,219,142209
215,219,147537
208,219,148813
174,219,144645
172,219,143541
243,229,179938
206,229,165198
222,229,165428
231,229,172084
364,229,214784
256,229,169720
231,229,157862
211,229,155004
225,229,162526
206,229,153134
254,229,159400
273,229,171176
192,229,145852
230,229,166590
236,229,152564
331,229,153144
211,229,161370
267,229,183730
226,229,161840
241,229,160446
306,229,147816
395,229,154306
400,229,157438
276,229,159166
587,229,163924
446,229,157436
195,229,156276
676,229,165544
189,229,153730
330,229,157312
760,229,167630
523,229,199624
509,229,163688
781,229,164600
209,229,171990
229,229,169834
238,229,164154
228,229,187328
227,229,162182
169,229,164292
194,229,149292
166,229,150010
238,229,162646
194,229,156150
208,229,170496
262,229,158128
245,229,173246
226,229,163114
276,229,184170
213,229,159524
178,229,177692
227,239,175954
247,239,204923
236,239,230912
233,239,176317
214,239,177394
224,239,162775
197,239,166869
258,239,168932
214,239,165915
281,239,185989
240,239,174012
230,239,172449
221,239,175222
285,239,192411
230,239,195013
263,239,177160
214,239,191673
228,239,175708
270,239,180163
242,239,176719
228,239,174254
246,239,176430
263,239,173155
185,239,168702
279,239,181750
234,239,168097
183,239,169660
266,239,171356
262,239,177279
227,239,176551
316,239,191190
225,239,176192
192,239,166998
248,239,187972
193,239,187486
307,239,196567
183,239,161569
231,239,171233
234,239,186673
230,239,183257
207,239,175944
188,239,170745
190,239,166280
269,239,182238
245,239,179699
215,239,182083
254,239,178967
233,239,167361
217,239,178128
197,239,193930
236,239,178610
274,249,218846
223,249,192790
215,249,211362
206,249,188644
274,249,220688
236,249,177936
264,249,191410
206,249,184736
211,249,178062
203,249,200952
318,249,220098
201,249,175678
382,249,235510
312,249,195312
246,249,185614
259,249,192420
409,249,194004
296,249,197326
254,249,191910
261,249,197330
230,249,190020
232,249,186120
276,249,186350
257,249,190778
201,249,173414
251,249,178328
281,249,216430
264,249,190780
255,249,188638
303,249,212546
234,249,183604
241,249,188136
316,249,206364
246,249,187756
204,249,179696
282,249,204664
263,249,194556
276,249,205746
285,249,198716
219,249,179956
265,249,186876
196,249,173154
251,249,201938
223,249,183986
218,249,185862
236,249,194180
281,249,193544
259,249,211872
267,249,227196
257,249,184612
283,249,206410
342,259,241209
291,259,233532
297,259,203332
332,259,219695
320,259,204900
288,259,202550
278,259,195603
304,259,253532
295,259,226472
439,259,217601
287,259,215758
315,259,210400
274,259,199795
319,259,203586
328,259,213806
254,259,199140
272,259,209181
304,259,206337
335,259,212623
249,259,199398
339,259,208167
264,259,202933
362,259,215376
321,259,216415
366,259,220584
286,259,200575
391,259,216553
329,259,200460
327,259,204114
372,259,218254
295,259,201758
352,259,220038
303,259,199795
395,259,210134
327,259,214062
293,259,201500
278,259,193251
380,259,198354
460,259,232171
407,259,215505
350,259,228586
368,259,215114
357,259,235052
324,259,190770
363,259,199926
357,259,199531
340,259,209481
356,259,199005
660,259,230306
394,259,190373
420,259,213802
433,269,228356
338,269,220738
310,269,224272
304,269,227270
319,269,239398
392,269,271556
305,269,206618
442,269,253208
345,269,229432
365,269,222238
372,269,227542
377,269,209326
458,269,216804
317,269,221280
400,269,216932
554,269,231074
539,269,253252
325,269,212724
458,269,271090
443,269,240078
305,269,218838
287,269,218944
350,269,221826
364,269,214220
514,269,238554
678,269,228900
454,269,221424
449,269,215720
478,269,220334
296,269,223330
269,269,217080
256,269,206610
348,269,227226
291,269,241666
309,269,218026
315,269,247236
390,269,247692
339,269,224822
286,269,224278
300,269,220472
357,269,258734
284,269,243132
400,269,212728
548,269,238742
422,269,223866
401,269,227046
475,269,229714
409,269,234378
303,269,217892
285,269,221016
333,269,218976
307,279,237545
444,279,252964
578,279,249721
470,279,243094
266,279,225612
378,279,249862
283,279,209300
426,279,252862
437,279,257670
311,279,238582
608,279,249270
565,279,234775
514,279,242395
650,279,235347
522,279,232527
631,279,253808
360,279,270456
569,279,253899
322,279,241543
297,279,230835
431,279,253105
306,279,243622
360,279,237321
325,279,237595
341,279,225060
357,279,263105
482,279,238167
411,279,276845
399,279,243376
363,279,237881
357,279,236197
464,279,288369
346,279,266407
374,279,237464
811,279,243656
747,279,256769
643,279,259090
587,279,253506
654,279,251272
582,279,254507
586,279,243656
507,279,244222
539,279,245072
554,279,308646
552,279,250255
584,279,240419
530,279,227735
418,279,255787
757,279,241120
676,279,244224
464,279,232525
613,289,287220
477,289,268574
688,289,312782
709,289,315768
542,289,265002
380,289,303180
333,289,260912
372,289,253618
326,289,262374
469,289,265292
513,289,273176
487,289,323476
316,289,262516
515,289,279308
438,289,276100
324,289,254782
426,289,265586
