time,round,nbMessages
495,339,334490
1056,339,376208
707,339,350564
531,339,356644
437,339,319796
585,339,349540
769,339,366290
1075,339,364584
716,339,336892
1414,339,427743
1038,339,355010
1106,339,365950
1174,339,348852
590,339,340314
760,339,323733
783,339,342195
635,339,347657
1187,339,460107
1100,339,357227
969,339,374672
988,339,346458
1057,349,363282
1161,349,392582
1128,349,379644
684,349,357476
527,349,360466
492,349,366976
486,349,386584
449,349,360120
530,349,350794
592,349,348860
1156,349,400760
829,349,398298
725,349,372956
555,349,367146
506,349,370844
668,349,438344
546,349,394798
651,349,386682
508,349,359234
723,349,401288
720,349,424686
571,349,408194
676,349,444486
528,349,370850
639,349,518616
668,349,393524
795,349,431414
517,349,394356
579,349,377710
547,349,359940
551,349,366972
658,349,371550
613,349,382108
805,349,353432
686,349,439724
425,349,347450
514,349,366794
478,349,361696
519,349,363772
631,349,387030
637,349,395836
695,349,406312
465,349,338838
526,349,356584
666,349,390028
539,349,433336
525,349,404388
597,349,379640
709,349,393722
699,349,368554
1163,349,384220
1009,359,388800
758,359,386998
586,359,386085
792,359,389158
777,359,381031
724,359,465570
524,359,384094
1152,359,419581
666,359,412817
850,359,486635
559,359,381019
788,359,412149
754,359,456421
597,359,392965
670,359,400923
639,359,395316
1142,359,401289
1053,359,474801
590,359,384096
778,359,413050
757,359,416312
682,359,437677
762,359,472329
576,359,392959
638,359,414589
699,359,456234
680,359,400205
558,359,382103
683,359,409613
531,359,383551
793,359,421378
583,359,401293
536,359,402673
599,359,402556
674,359,411421
511,359,376498
595,359,413163
689,359,409617
717,359,417758
612,359,404002
579,359,396581
454,359,364741
655,359,403286
609,359,408346
638,359,439976
585,359,400923
533,359,389888
567,359,418664
774,359,475135
529,359,380291
529,359,422009
892,369,441202
875,369,460730
503,369,380786
602,369,411074
580,369,409414
760,369,465604
734,369,485886
570,369,401958
609,369,425204
609,369,420002
622,369,411818
547,369,404752
562,369,410884
553,369,406610
807,369,450500
658,369,457966
689,369,428926
602,369,408278
656,369,422044
633,369,415532
821,369,447152
623,369,418326
570,369,433442
555,369,403078
565,369,415720
621,369,415906
651,369,419632
710,369,436364
904,369,473860
577,369,409766
572,369,395824
520,369,389516
684,369,427252
801,369,442690
710,369,476656
657,369,413304
659,369,421860
673,369,430230
767,369,438784
600,369,414976
678,369,491612
573,369,398986
707,369,424276
617,369,419444
747,369,464826
715,369,479004
750,369,436552
757,369,435068
807,369,446036
523,369,402708
630,369,416224
617,379,431672
829,379,464138
690,379,441606
657,379,433584
702,379,445422
684,379,443134
750,379,450388
655,379,437786
828,379,462230
687,379,446950
629,379,436803
566,379,417542
790,379,456116
740,379,450770
712,379,451152
551,379,408388
592,379,420598
736,379,444469
577,379,415250
701,379,467633
606,379,481800
722,379,436833
710,379,442750
654,379,435878
647,379,516529
689,379,440267
628,379,473846
835,379,461464
745,379,443701
697,379,446757
688,379,444085
720,379,474867
867,379,492286
758,379,445999
701,379,426133
723,379,446377
615,379,425556
892,379,456882
659,379,428238
703,379,446377
789,379,520127
859,379,423841
1311,379,446757
780,379,455592
1029,379,430910
1186,379,448289
1398,379,440645
669,379,426336
697,379,437975
586,379,469039
764,379,459751
985,389,499490
946,389,444558
983,389,541638
842,389,465314
1043,389,585960
1294,389,464726
1141,389,458652
1109,389,458064
781,389,466100
825,389,510668
1130,389,468844
2274,389,491380
1037,389,439454
855,389,462178
927,389,458846
1076,389,488636
915,389,448264
923,389,523242
924,389,458650
835,389,432010
971,389,444738
870,389,463552
809,389,489238
783,389,472958
556,389,441212
899,389,447092
805,389,441410
1035,389,496410
1027,389,536186
1046,389,487932
747,389,534168
928,389,457080
741,389,466884
1104,389,481974
924,389,497070
639,389,450814
777,389,484912
724,389,445134
1359,389,496602
631,389,457084
729,389,452184
850,389,476094
875,389,446680
1155,389,494320
1304,389,480404
1414,389,505584
1223,389,466846
1499,389,494812
1053,389,449054
1298,389,539334
920,389,475308
978,399,470121
1065,399,549521
816,399,478390
1159,399,486229
